,DATE,kg_avg_price,fe_doy_sin,fe_doy_cos,fe_doy2_sin,fe_doy2_cos,fe_week_sin,fe_week_cos,fe_summer_ind,fe_stage_spring_facility,fe_stage_spring_openfield,fe_stage_semi_highland_1,fe_stage_highland,fe_stage_semi_highland_2,fe_stage_autumn
2651,2019-10-23,881.5269903565268,-0.9288394302558068,0.3704825404820963,-0.6882375836422284,-0.7254853743958638,0.9749279121818236,-0.2225209339563143,0.3086474612366189,0,0,0,0,0,1
2652,2019-10-24,787.1007960670398,-0.9223291176290545,0.3864052261209853,-0.7127855825108473,-0.7013820024527804,0.4338837391175582,-0.900968867902419,0.2982340961814215,0,0,0,0,0,1
2653,2019-10-25,842.6449648862831,-0.9155458729775467,0.4022135682368036,-0.7364899449095569,-0.6764484910524362,-0.433883739117558,-0.9009688679024191,0.2880297924974456,0,0,0,0,0,1
2654,2019-10-26,696.1333188351589,-0.9084917035725082,0.4179028888867866,-0.7593226149052589,-0.6507143509201561,-0.9749279121818236,-0.2225209339563146,0.2780373004531941,0,0,0,0,0,1
2655,2019-10-28,768.9773601775967,-0.8935790198239952,0.4489059314938798,-0.8022658445149573,-0.5969669293392242,0.0,1.0,0.258696746701885,0,0,0,0,0,1
2656,2019-10-29,767.2746735596169,-0.8857249183835637,0.4642104791518923,-0.8223255775192096,-0.5690172620911411,0.7818314824680298,0.6234898018587336,0.2493522087772961,0,0,0,0,0,1
2657,2019-10-30,742.9829667286309,-0.8776087166898392,0.4793776594606945,-0.8414120250581577,-0.5403941192199728,0.9749279121818236,-0.2225209339563143,0.2402265507324824,0,0,0,0,0,1
2658,2019-10-31,746.995868764346,-0.8692328164574792,0.4944029842076181,-0.8595025968555411,-0.5111313784132033,0.4338837391175582,-0.900968867902419,0.2313206080041767,0,0,0,0,0,1
2659,2019-11-01,795.6949534862258,-0.8605996962501181,0.5092820071573356,-0.876575881330507,-0.4812636743715911,-0.433883739117558,-0.9009688679024191,0.2226348658788909,0,0,0,0,0,1
2660,2019-11-02,719.4742608067316,-0.8517119107469189,0.5240103253675756,-0.8926116709398649,-0.4508263578163351,-0.9749279121818236,-0.2225209339563146,0.2141694715316088,0,0,0,0,0,1
2661,2019-11-04,739.6044259499631,-0.8331829385891785,0.5529974600700271,-0.9214960976269942,-0.3883876183121974,0.0,1.0,0.1978986990836146,0,0,0,0,0,1
2662,2019-11-05,695.563470943279,-0.8235472349556007,0.5672476988027229,-0.9343105477678196,-0.3564600964060307,0.7818314824680298,0.6234898018587336,0.1900920380007587,0,0,0,0,0,1
2663,2019-11-06,662.3391714248826,-0.8136678304455991,0.5813300798152042,-0.9460191696320084,-0.3241106766040965,0.9749279121818236,-0.2225209339563143,0.1825031849518363,0,0,0,0,0,1
2664,2019-11-07,627.7941640467417,-0.8035476485339116,0.5952404359043674,-0.9566081051665098,-0.2913776469287574,0.4338837391175582,-0.900968867902419,0.1751307883451509,0,0,0,0,0,1
2665,2019-11-08,654.5401522197399,-0.7931896839451843,0.6089746507720486,-0.9660648215530204,-0.2582997494341228,-0.433883739117558,-0.9009688679024191,0.1679732367575336,0,0,0,0,0,1
2666,2019-11-09,766.8951739537664,-0.7825970017677834,0.6225286602431057,-0.9743781260415392,-0.2249161343518477,-0.9749279121818236,-0.2225209339563146,0.1610286725459804,0,0,0,0,0,1
2667,2019-11-11,764.615911747421,-0.7607200913564104,0.6490800741100398,-0.98753650654923,-0.1573901147866107,0.0,1.0,0.1477699265043177,0,0,0,0,0,1
2668,2019-11-12,764.4684961631775,-0.7494423368521953,0.6620696215153815,-0.992366008614672,-0.1233276325329588,0.7818314824680298,0.6234898018587336,0.1414509211393686,0,0,0,0,0,1
2669,2019-11-13,714.6027969267293,-0.7379428103031386,0.6748632518680403,-0.9960209693076332,-0.0891191825561879,0.9749279121818236,-0.2225209339563143,0.1353352832366127,0,0,0,0,0,1
